639625,217835
639646.213203436,217813.786796564
639668.431457505,217795
639675,217795
637585,224365
637605,224333.284271247
637605,224293.284271247
637615,224257.426406871
637615,224217.426406871
637615,224215
631785,219325
631795,219279.142135624
631809.644660941,219239.644660941
631785,219199.852813742
631782.781745931,219157.218254069
631825,219155
639685,223085
639716.715728753,223065
639747.426406871,223042.573593129
639778.639610307,223021.360389693
639807.720779386,222995
639839.436508139,222975
639869.350288425,222950.649711575
639875,222945
642425,227335
642456.213203436,227356.213203436
642488.431457505,227375
642521.568542495,227391.568542495
642556.005050634,227405
642589.852813742,227419.852813742
642623.578643763,227435
642655.294372515,227455
642691.152236891,227465
642723.492424049,227483.492424049
642758.72583002,227495
642791.776695297,227511.776695297
642822.989898732,227532.989898732
642858.015151902,227545
642891.27416998,227561.27416998
642925.58874503,227575
642961.446609407,227585
642997.304473783,227595
643036.629509039,227593.370490961
643067.842712475,227597.842712475
643095,227620.735931288
643120.269119346,227650.269119346
643154.167388793,227665
643190.025253169,227675
643225.883117546,227685
643265.883117546,227685
643295,227685
